Item;Departamento;Código Divipola Departamento;Municipio;Código Divipola Municipio;Programa;Año de Asignación;Estado de Postulación;Hogares;Valor Asignado
1;AMAZONAS;91;LETICIA;1;Programa Vivienda Gratuita Fase I;2,015;Asignados;95;5,315,956,800
2;AMAZONAS;91;LETICIA;1;Programa Vivienda Gratuita Fase I;2,015;Asignados;43;2,406,169,920
3;AMAZONAS;91;LETICIA;1;Programa Vivienda Gratuita Fase I;2,015;Renuncias al subsidio;2;111,914,880
4;AMAZONAS;91;LETICIA;1;Programa Vivienda Gratuita Fase I;2,015;Renuncias al subsidio;2;111,914,880
5;AMAZONAS;91;LETICIA;1;Programa Vivienda Gratuita Fase I;2,015;Subsidio revocado mediante procedimiento Administrativo Sancionatorio;2;111,914,880
6;ANTIOQUIA;5;AMAGA;30;Programa Vivienda Gratuita Fase I;2,015;Asignados;23;813,510,000
7;ANTIOQUIA;5;AMAGA;30;Programa Vivienda Gratuita Fase I;2,015;Asignados;10;353,700,000
8;ANTIOQUIA;5;AMAGA;30;Programa Vivienda Gratuita Fase I;2,015;Asignados;2;90,209,000
9;ANTIOQUIA;5;AMAGA;30;Programa Vivienda Gratuita Fase I;2,015;Asignados;1;35,370,000
10;ANTIOQUIA;5;AMAGA;30;Programa Vivienda Gratuita Fase I;2,015;Renuncias al subsidio;1;35,370,000
11;ANTIOQUIA;5;AMAGA;30;Programa Vivienda Gratuita Fase I;2,015;Asignados;1;35,370,000
12;ANTIOQUIA;5;AMAGA;30;Programa Vivienda Gratuita Fase I;2,015;Renuncias al subsidio;1;35,370,000
13;ANTIOQUIA;5;AMALFI;31;Programa Vivienda Gratuita Fase I;2,015;Asignados;60;2,217,600,000
14;ANTIOQUIA;5;AMALFI;31;Programa Vivienda Gratuita Fase I;2,015;Asignados;19;702,240,000
15;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,015;Renuncias al subsidio;1;12,887,000
16;ANTIOQUIA;5;ANDES;34;Programa Vivienda Gratuita Fase I;2,015;Asignados;10;369,600,000
17;ANTIOQUIA;5;ANGOSTURA;38;Programa Vivienda Gratuita Fase I;2,015;Asignados;8;282,960,000
18;ANTIOQUIA;5;ANGOSTURA;38;Programa Vivienda Gratuita Fase I;2,015;Asignados;4;141,480,000
19;ANTIOQUIA;5;ANGOSTURA;38;Programa Vivienda Gratuita Fase I;2,015;Asignados;4;141,480,000
20;ANTIOQUIA;5;ANGOSTURA;38;Programa Vivienda Gratuita Fase I;2,015;Renuncias al subsidio;1;35,370,000
21;ANTIOQUIA;5;ANGOSTURA;38;Programa Vivienda Gratuita Fase I;2,015;Subsidio Revocado;1;35,370,000
22;ANTIOQUIA;5;APARTADO;45;Bolsa Desplazados;2,015;Apto con subsidio vencido;1;19,330,500
23;ANTIOQUIA;5;APARTADO;45;Fenómeno de la Niña;2,015;Asignados;23;594,193,710
24;ANTIOQUIA;5;APARTADO;45;Fenómeno de la Niña;2,015;Asignados;13;292,923,010
25;ANTIOQUIA;5;APARTADO;45;Fenómeno de la Niña;2,015;Asignados;12;146,023,650
26;ANTIOQUIA;5;APARTADO;45;Fenómeno de la Niña;2,015;Renuncias al subsidio;3;69,304,770
27;ANTIOQUIA;5;APARTADO;45;Fenómeno de la Niña;2,015;Apto con subsidio vencido;1;33,577,780
28;ANTIOQUIA;5;APARTADO;45;MI CASA YA;2,015;Asignados;1;12,887,000
29;ANTIOQUIA;5;APARTADO;45;MI CASA YA;2,015;Asignados;1;7,732,200
30;ANTIOQUIA;5;APARTADO;45;MI CASA YA;2,015;Asignados;1;7,732,200
31;ANTIOQUIA;5;APARTADO;45;MI CASA YA;2,015;Renuncias al subsidio;1;7,732,200
32;ANTIOQUIA;5;APARTADO;45;Programa Vivienda Gratuita Fase I;2,015;Asignados;6;149,085,730
33;ANTIOQUIA;5;APARTADO;45;Programa Vivienda Gratuita Fase I;2,015;Asignados;1;45,104,500
34;ANTIOQUIA;5;ARBOLETES;51;Programa Vivienda Gratuita Fase I;2,015;Asignados;68;2,680,832,000
35;ANTIOQUIA;5;ARBOLETES;51;Programa Vivienda Gratuita Fase I;2,015;Asignados;30;1,182,720,000
36;ANTIOQUIA;5;ARGELIA;55;Programa Vivienda Gratuita Fase I;2,015;Asignados;49;1,811,040,000
37;ANTIOQUIA;5;ARGELIA;55;Programa Vivienda Gratuita Fase I;2,015;Asignados;15;554,400,000
38;ANTIOQUIA;5;ARGELIA;55;Programa Vivienda Gratuita Fase I;2,015;Asignados;8;295,680,000
39;ANTIOQUIA;5;ARGELIA;55;Programa Vivienda Gratuita Fase I;2,015;Renuncias al subsidio;5;184,800,000
40;ANTIOQUIA;5;ARGELIA;55;Programa Vivienda Gratuita Fase I;2,015;Asignados;4;147,840,000
41;ANTIOQUIA;5;ARGELIA;55;Programa Vivienda Gratuita Fase I;2,015;Renuncias al subsidio;3;110,880,000
42;ANTIOQUIA;5;ARGELIA;55;Programa Vivienda Gratuita Fase I;2,015;Asignados;3;110,880,000
43;ANTIOQUIA;5;ARGELIA;55;Programa Vivienda Gratuita Fase I;2,015;Subsidio Revocado;1;36,960,000
44;ANTIOQUIA;5;ARGELIA;55;Programa Vivienda Gratuita Fase I;2,015;Subsidio revocado mediante procedimiento Administrativo Sancionatorio;1;36,960,000
45;ANTIOQUIA;5;BELLO;88;Fenómeno de la Niña;2,015;Renuncias al subsidio;2;39,478,638
46;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;12;118,560,400
47;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;8;87,631,600
48;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;6;61,857,600
49;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;5;48,970,600
50;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;4;41,238,400
51;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;3;33,506,200
52;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;3;33,506,200
53;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;3;28,351,400
54;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;2;25,774,000
55;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;2;20,619,200
56;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;2;20,619,200
57;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;2;20,619,200
58;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Subsidio Revocado;1;12,887,000
59;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Apto con subsidio vencido;1;12,887,000
60;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;1;12,887,000
61;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Apto con subsidio vencido;1;12,887,000
62;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;1;12,887,000
63;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;1;7,732,200
64;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Renuncias al subsidio;1;7,732,200
65;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;1;7,732,200
66;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Renuncias al subsidio;1;7,732,200
67;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Asignados;1;7,732,200
68;ANTIOQUIA;5;BELLO;88;MI CASA YA;2,015;Renuncias al subsidio;1;7,732,200
69;ANTIOQUIA;5;BELLO;88;Programa Vivienda Gratuita Fase I;2,015;Asignados;31;611,918,889
70;ANTIOQUIA;5;BELLO;88;Programa Vivienda Gratuita Fase I;2,015;Asignados;1;45,104,500
71;ANTIOQUIA;5;BELLO;88;Programa Vivienda Gratuita Fase I;2,015;Apto con subsidio vencido;1;19,739,319
72;ANTIOQUIA;5;BELLO;88;VIPA;2,015;Perdida de ejecutoriedad de asignación de SFV;34;634,684,750
73;ANTIOQUIA;5;BELMIRA;86;MI CASA YA;2,015;Apto con subsidio vencido;1;12,887,000
74;ANTIOQUIA;5;CALDAS;129;MI CASA YA;2,015;Asignados;1;12,887,000
75;ANTIOQUIA;5;CALDAS;129;MI CASA YA;2,015;Asignados;1;7,732,200
76;ANTIOQUIA;5;CALDAS;129;MI CASA YA;2,015;Asignados;1;7,732,200
